# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2050-01-01
#
# GRDC-No.:              1234567
# River:                 River A
# Station:               Station A
# Country:               Country A
# Latitude (DD):       47.51
# Longitude (DD):      10.05
# Catchment area (km²):      -999.000
# Altitude (m ASL):        -999.000
# Next downstream station:      1234568
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-01 - 1989-12
# No. of years:          60
# Last update:           3050-01-01
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 365
# DATA
YYYY-MM-DD;hh:mm; Value
1940-01-01;--:--;41.19
1940-01-02;--:--;39.25
1940-01-03;--:--;40.06
1940-01-04;--:--;41.56
1940-01-05;--:--;42.49
1940-01-06;--:--;38.95
1940-01-07;--:--;38.44
1940-01-08;--:--;39.8
1940-01-09;--:--;39.74
1940-01-10;--:--;37.81
1940-01-11;--:--;41.79
1940-01-12;--:--;38.74
1940-01-13;--:--;40.65
1940-01-14;--:--;41.67
1940-01-15;--:--;40.73
1940-01-16;--:--;41.38
1940-01-17;--:--;39.18
1940-01-18;--:--;36.42
1940-01-19;--:--;42.92
1940-01-20;--:--;40.42
1940-01-21;--:--;36.12
1940-01-22;--:--;40.45
1940-01-23;--:--;37.99
1940-01-24;--:--;39.56
1940-01-25;--:--;43.53
1940-01-26;--:--;39.39
1940-01-27;--:--;40.48
1940-01-28;--:--;39.72
1940-01-29;--:--;40.89
1940-01-30;--:--;39.44
1940-01-31;--:--;36.61
1940-02-01;--:--;39.96
1940-02-02;--:--;40.61
1940-02-03;--:--;39.3
1940-02-04;--:--;39.54
1940-02-05;--:--;41.79
1940-02-06;--:--;39.23
1940-02-07;--:--;39.43
1940-02-08;--:--;40.57
1940-02-09;--:--;46.09
1940-02-10;--:--;41.7
1940-02-11;--:--;42.35
1940-02-12;--:--;38.83
1940-02-13;--:--;41.49
1940-02-14;--:--;39.32
1940-02-15;--:--;37.45
1940-02-16;--:--;41.99
1940-02-17;--:--;41.91
1940-02-18;--:--;40.46
1940-02-19;--:--;43.27
1940-02-20;--:--;38.75
1940-02-21;--:--;39.71
1940-02-22;--:--;41.15
1940-02-23;--:--;42.22
1940-02-24;--:--;40.22
1940-02-25;--:--;43.78
1940-02-26;--:--;42.85
1940-02-27;--:--;45.97
1940-02-28;--:--;44.55
1940-02-29;--:--;46.15
1940-03-01;--:--;45.75
1940-03-02;--:--;44.56
1940-03-03;--:--;45.39
1940-03-04;--:--;46.41
1940-03-05;--:--;43.32
1940-03-06;--:--;40.94
1940-03-07;--:--;45.48
1940-03-08;--:--;40.49
1940-03-09;--:--;45.7
1940-03-10;--:--;46.14
1940-03-11;--:--;45.58
1940-03-12;--:--;46.18
1940-03-13;--:--;46.1
1940-03-14;--:--;44.91
1940-03-15;--:--;44.45
1940-03-16;--:--;51.09
1940-03-17;--:--;47.66
1940-03-18;--:--;46.59
1940-03-19;--:--;51.13
1940-03-20;--:--;49.67
1940-03-21;--:--;51.09
1940-03-22;--:--;54.22
1940-03-23;--:--;49.01
1940-03-24;--:--;47.81
1940-03-25;--:--;49.97
1940-03-26;--:--;50.44
1940-03-27;--:--;51.4
1940-03-28;--:--;51.92
1940-03-29;--:--;52.94
1940-03-30;--:--;52.12
1940-03-31;--:--;57.11
1940-04-01;--:--;54.75
1940-04-02;--:--;50.91
1940-04-03;--:--;51.92
1940-04-04;--:--;55.08
1940-04-05;--:--;54.19
1940-04-06;--:--;52.41
1940-04-07;--:--;57.91
1940-04-08;--:--;59.64
1940-04-09;--:--;51.3
1940-04-10;--:--;56.08
1940-04-11;--:--;55.85
1940-04-12;--:--;54.46
1940-04-13;--:--;57.75
1940-04-14;--:--;56.87
1940-04-15;--:--;61.37
1940-04-16;--:--;58.2
1940-04-17;--:--;60.37
1940-04-18;--:--;57.46
1940-04-19;--:--;61.31
1940-04-20;--:--;63.49
1940-04-21;--:--;61.89
1940-04-22;--:--;62.32
1940-04-23;--:--;61.11
1940-04-24;--:--;64.74
1940-04-25;--:--;65.56
1940-04-26;--:--;63.04
1940-04-27;--:--;64.7
1940-04-28;--:--;63.47
1940-04-29;--:--;67.38
1940-04-30;--:--;68.06
1940-05-01;--:--;69.35
1940-05-02;--:--;68.26
1940-05-03;--:--;68.96
1940-05-04;--:--;70.25
1940-05-05;--:--;68.79
1940-05-06;--:--;71.93
1940-05-07;--:--;75.15
1940-05-08;--:--;72.41
1940-05-09;--:--;75.27
1940-05-10;--:--;76.12
1940-05-11;--:--;74.41
1940-05-12;--:--;77.66
1940-05-13;--:--;76.99
1940-05-14;--:--;79.5
1940-05-15;--:--;77.01
1940-05-16;--:--;75.42
1940-05-17;--:--;77.53
1940-05-18;--:--;79.26
1940-05-19;--:--;77.93
1940-05-20;--:--;80.86
1940-05-21;--:--;81.07
1940-05-22;--:--;77.06
1940-05-23;--:--;82.11
1940-05-24;--:--;83.07
1940-05-25;--:--;80.72
1940-05-26;--:--;82.27
1940-05-27;--:--;83.11
1940-05-28;--:--;80.6
1940-05-29;--:--;82.55
1940-05-30;--:--;82.48
1940-05-31;--:--;80.63
1940-06-01;--:--;80.26
1940-06-02;--:--;80.96
1940-06-03;--:--;84.01
1940-06-04;--:--;79.35
1940-06-05;--:--;84.59
1940-06-06;--:--;81.61
1940-06-07;--:--;83.38
1940-06-08;--:--;78.64
1940-06-09;--:--;83.76
1940-06-10;--:--;81.75
1940-06-11;--:--;78.9
1940-06-12;--:--;83.49
1940-06-13;--:--;84.06
1940-06-14;--:--;78.29
1940-06-15;--:--;82.13
1940-06-16;--:--;80.09
1940-06-17;--:--;80.6
1940-06-18;--:--;83.9
1940-06-19;--:--;80.7
1940-06-20;--:--;81.42
1940-06-21;--:--;81.66
1940-06-22;--:--;83.9
